"Reservoir","Site","SN","DateTime","Depth_m","Temp_C","DO_mgL","DOsat_percent","Cond_uScm","SpCond_uScm","Chla_ugL","Turbidity_NTU","pH","ORP_mV","PAR_umolm2s","DescRate_ms","Flag_DateTime","Flag_Temp_C","Flag_DO_mgL","Flag_DOsat_percent","Flag_Cond_uScm","Flag_SpCond_uScm","Flag_Chla_ugL","Flag_Turbidity_NTU","Flag_pH","Flag_ORP_mV","Flag_PAR_umolm2s","Flag_DescRate_ms","Flag_NA"
"FCR",50,7809,2024-02-27 14:21:00,0.411,7.2179,10.954,86.141,29.117354,45.149,8.8461,6.7812,6.928,284.3946,61.278,0.023,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.421,7.2176,10.7752,85.416,29.108442,45.132,8.8486,6.7399,6.928,283.439,60.861,0.024,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.426,7.2257,10.6153,84.825,29.087706,45.099,8.7959,6.7549,6.928,283.124,60.697,0.025,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.428,7.2399,10.4895,84.355,29.120364,45.15,8.6667,6.7915,6.929,284.3715,60.558,0.023,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.431,7.2455,10.3868,83.965,29.186145,45.255,8.5773,6.8071,6.93,286.3907,60.131,0.02,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.439,7.2465,10.2981,83.635,29.185308,45.256,8.5551,6.7386,6.931,287.4914,59.526,0.017,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.447,7.2477,10.2267,83.356,29.173674,45.24,8.5568,6.6801,6.931,287.4417,59.216,0.017,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.451,7.2465,10.1733,83.091,29.235776,45.336,8.6068,6.7151,6.932,287.1665,59.147,0.017,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.452,7.2452,10.1268,82.811,29.301861,45.44,8.6938,6.7529,6.933,287.0893,59.102,0.018,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.453,7.243,10.0872,82.524,29.338386,45.499,8.7339,6.7607,6.935,286.9388,58.989,0.021,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.457,7.2411,10.0562,82.224,29.360232,45.538,8.7251,6.7749,6.935,286.8945,58.568,0.026,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.464,7.2416,10.0262,81.909,29.375689,45.569,8.6958,6.8559,6.934,287.2423,57.839,0.034,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.475,7.2412,9.9907,81.599,29.39841,45.611,8.6625,6.9896,6.934,287.7878,57.06,0.043,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.488,7.2391,9.9575,81.303,29.381215,45.59,8.647,7.0249,6.933,288.4139,56.103,0.052,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.505,7.2362,9.9223,81.012,29.358079,45.561,8.634,7.009,6.931,288.7037,55.013,0.057,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.522,7.2304,9.8844,80.74,29.308968,45.487,8.6375,7.002,6.929,287.6792,54.062,0.058,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.538,7.2241,9.8478,80.49,29.231439,45.36,8.6728,6.9406,6.928,286.0927,53.002,0.055,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.554,7.2229,9.8142,80.259,29.245311,45.378,8.7031,6.8478,6.928,285.9552,52.042,0.051,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.567,7.2163,9.779,80.074,29.286395,45.446,8.7046,6.7685,6.928,286.4467,51.632,0.047,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.574,7.2106,9.7469,79.915,29.284153,45.448,8.7153,6.7668,6.928,286.6155,51.297,0.044,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.581,7.2223,9.7162,79.75,29.218201,45.348,8.7492,6.8274,6.928,287.3072,50.737,0.043,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.591,7.2252,9.6836,79.57,29.123288,45.203,8.7647,6.8514,6.928,288.3572,50.1,0.043,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.603,7.2184,9.6652,79.351,29.151471,45.25,8.7703,6.8188,6.928,287.6957,49.396,0.046,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.616,7.2152,9.6487,79.101,29.241799,45.393,8.8837,6.8424,6.928,285.5036,48.77,0.051,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.628,7.2134,9.6283,78.859,29.137094,45.232,9.1035,6.9667,6.928,284.4802,48.088,0.054,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.643,7.2128,9.6087,78.579,28.900393,44.868,9.2309,7.0909,6.927,284.6147,47.173,0.055,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.66,7.2086,9.5838,78.223,28.853686,44.803,9.2251,7.1146,6.926,285.2376,46.288,0.058,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.676,7.2075,9.549,77.871,28.826088,44.763,9.2082,7.0495,6.925,286.2464,45.736,0.059,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.688,7.2069,9.5235,77.571,28.566693,44.353,9.3351,7.0553,6.925,286.4018,45.127,0.058,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.703,7.2047,9.4956,77.318,28.444864,44.152,9.5932,7.1844,6.924,285.4818,44.137,0.056,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.722,7.1992,9.4453,77.124,28.558252,44.324,9.7488,7.312,6.923,284.7593,43.362,0.053,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.736,7.1921,9.4036,76.984,28.542211,44.303,9.7764,7.3349,6.923,284.807,42.942,0.05,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.746,7.2,9.3672,76.857,28.504621,44.25,9.9605,7.4604,6.922,284.9402,42.478,0.049,0,0,0,0,0,0,0,0,0,0,0,0,5
"FCR",50,7809,2024-02-27 14:21:00,0.756,7.2139,9.3319,76.739,28.547764,44.317,10.3346,7.8051,6.921,284.8215,42.016,0.047,0,0,0,0,0,0,0,0,0,0,0,0,5
