Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-06-28T13:30:41Z,11.579,13.5023,0.8244,-0.1961,245.793104,319.175,11.578,111.149,8.131,267.9795,31.748,0.1516,0.029,999.4846,0
2019-06-28T13:30:41Z,11.597,13.4998,0.8321,-0.1816,245.665694,318.934,11.6153,111.502,8.132,268.3203,31.51,0.1515,0.031,999.4849,0
2019-06-28T13:30:41Z,11.626,13.497,0.8397,-0.1528,245.711108,319.099,11.6452,111.782,8.131,268.5853,31.127,0.1516,0.039,999.4854,0
2019-06-28T13:30:41Z,11.66,13.4937,0.8473,-0.1095,245.616832,318.937,11.6745,112.06,8.131,267.9795,30.874,0.1515,0.053,999.4858,0
2019-06-28T13:30:41Z,11.689,13.4904,0.8473,-0.2682,245.513556,318.85,11.693,112.24,8.13,266.1245,30.787,0.1515,0.068,999.4863,0
2019-06-28T13:30:41Z,11.712,13.4874,0.8168,-0.0086,245.510286,318.877,11.716,112.461,8.13,265.3295,30.565,0.1515,0.081,999.4868,0
2019-06-28T13:30:41Z,11.733,13.4844,0.8282,0.1356,245.411324,318.758,11.7385,112.671,8.128,264.7617,30.375,0.1514,0.092,999.4873,0
2019-06-28T13:30:41Z,11.752,13.4813,0.8282,0.0779,245.397195,318.783,11.7531,112.802,8.128,263.9667,30.273,0.1515,0.097,999.4878,0
2019-06-28T13:30:41Z,11.77,13.4788,0.8168,0.1356,245.348234,318.734,11.7607,112.867,8.129,263.7017,30.083,0.1514,0.098,999.4882,0
2019-06-28T13:30:41Z,11.789,13.4765,0.9465,0.0635,245.292622,318.687,11.7545,112.798,8.131,264.0045,29.895,0.1514,0.093,999.4888,0
2019-06-28T13:30:41Z,11.808,13.4739,0.9465,0.0491,245.28677,318.707,11.7583,112.827,8.13,264.6102,29.726,0.1514,0.086,999.4892,0
2019-06-28T13:30:41Z,11.827,13.4716,0.9618,0.0923,245.295645,318.727,11.7522,112.762,8.129,264.7995,29.578,0.1514,0.079,999.4896,0
2019-06-28T13:30:41Z,11.843,13.469,0.9389,-0.0519,245.281587,318.748,11.752,112.765,8.129,264.2695,29.456,0.1514,0.075,999.49,0
2019-06-28T13:30:41Z,11.857,13.4676,1.0762,0.0635,245.244392,318.694,11.7507,112.755,8.131,264.5724,29.318,0.1514,0.072,999.4904,0
2019-06-28T13:30:41Z,11.871,13.4686,1.0876,0.0923,245.222179,318.715,11.7375,112.621,8.126,264.4588,29.213,0.1514,0.069,999.4909,0
2019-06-28T13:30:41Z,11.885,13.4688,1.0762,0.0923,245.189475,318.654,11.7199,112.441,8.13,263.9288,29.113,0.1514,0.065,999.491,0
2019-06-28T13:30:41Z,11.898,13.4664,1.0686,0.0202,245.225213,318.718,11.6958,112.2,8.13,263.6638,28.972,0.1514,0.062,999.4909,0
2019-06-28T13:30:41Z,11.911,13.4629,0.9961,-0.1672,245.177705,318.644,11.6656,111.902,8.131,263.7017,28.891,0.1514,0.059,999.491,0
2019-06-28T13:30:41Z,11.923,13.4594,1.0113,-0.1961,245.128837,318.59,11.6348,111.601,8.131,264.1938,28.795,0.1514,0.055,999.4914,0
2019-06-28T13:30:41Z,11.936,13.4559,1.0266,-0.1672,245.106392,318.62,11.62,111.454,8.128,267.4495,28.638,0.1514,0.053,999.4919,0
2019-06-28T13:30:41Z,11.95,13.4525,1.019,-0.1528,245.055946,318.538,11.6012,111.268,8.129,266.0867,28.516,0.1513,0.052,999.4924,0
2019-06-28T13:30:41Z,11.966,13.4507,0.8855,0.0202,245.101805,318.678,11.5975,111.227,8.127,263.0202,28.333,0.1514,0.052,999.493,0
2019-06-28T13:30:41Z,11.983,13.4522,0.9007,0.0347,245.139156,318.704,11.5885,111.137,8.128,266.7302,28.16,0.1514,0.053,999.4935,0
2019-06-28T13:30:41Z,12.003,13.4533,0.9122,0.0779,245.15918,318.796,11.5879,111.129,8.132,267.7903,28.052,0.1514,0.057,999.4938,0
2019-06-28T13:30:41Z,12.022,13.4502,0.9122,0.15,245.136774,318.707,11.5845,111.094,8.129,268.131,27.888,0.1514,0.06,999.4937,0
2019-06-28T13:30:41Z,12.042,13.4456,0.9656,-0.124,245.047276,318.624,11.5962,111.202,8.132,267.3738,27.75,0.1514,0.065,999.4936,0
2019-06-28T13:30:41Z,12.064,13.4418,0.9541,-0.2105,244.971152,318.505,11.6151,111.381,8.128,266.9574,27.602,0.1513,0.07,999.4941,0
2019-06-28T13:30:41Z,12.086,13.4386,0.9465,-0.2826,244.991994,318.616,11.6512,111.722,8.129,267.1088,27.451,0.1514,0.074,999.4948,0
2019-06-28T13:30:41Z,12.105,13.4361,0.9465,-0.2105,244.991415,318.611,11.6829,112.018,8.131,266.04880000000003,27.341,0.1514,0.078,999.4954,0
2019-06-28T13:30:41Z,12.124,13.4341,0.9312,0.0635,245.00183,318.674,11.7111,112.28,8.128,265.3295,27.149,0.1514,0.079,999.496,0
2019-06-28T13:30:41Z,12.147,13.4319,0.9389,0.0635,245.008985,318.695,11.7468,112.613,8.131,265.0267,26.944,0.1514,0.081,999.4964,0
2019-06-28T13:30:41Z,12.173,13.4299,0.9694,0.1356,244.952579,318.638,11.7628,112.759,8.128,265.1781,26.744,0.1514,0.082,999.4968,0
2019-06-28T13:30:41Z,12.199,13.4281,0.9389,0.1212,244.952273,318.656,11.7688,112.809,8.127,265.3674,26.612,0.1514,0.085,999.4972,0
2019-06-28T13:30:41Z,12.221,13.4272,0.9465,0.0923,245.009375,318.746,11.7756,112.87,8.128,264.8374,26.534,0.1514,0.087,999.4976,0
2019-06-28T13:30:41Z,12.24,13.4263,0.9579,0.1356,245.001289,318.761,11.78,112.91,8.13,264.6481,26.381,0.1514,0.088,999.4979,0
2019-06-28T13:30:41Z,12.26,13.4248,0.9618,0.0923,244.962344,318.695,11.7913,113.013,8.128,264.2695,26.248,0.1514,0.088,999.4981,0
2019-06-28T13:30:41Z,12.283,13.4236,0.9694,0.0635,244.938083,318.703,11.7921,113.012,8.128,264.5345,26.146,0.1514,0.088,999.4983,0
2019-06-28T13:30:41Z,12.304,13.4217,0.9618,0.1067,244.881785,318.605,11.7869,112.951,8.128,264.3452,25.999,0.1513,0.088,999.4986,0
2019-06-28T13:30:41Z,12.327,13.4185,0.9312,0.0635,244.88271,318.651,11.7749,112.828,8.128,264.7617,25.854,0.1514,0.086,999.4989,0
2019-06-28T13:30:41Z,12.349,13.4148,0.9389,0.0202,244.847116,318.594,11.758,112.659,8.128,264.6481,25.741,0.1513,0.085,999.4992,0
2019-06-28T13:30:41Z,12.372,13.4113,0.9351,0.0635,244.776389,318.548,11.7468,112.544,8.127,265.1024,25.592,0.1513,0.085,999.4997,0
2019-06-28T13:30:41Z,12.394,13.4084,0.9541,-0.1095,244.731219,318.505,11.7426,112.499,8.126,265.4052,25.493,0.1513,0.086,999.5003,0
2019-06-28T13:30:41Z,12.416,13.4056,0.9541,-0.2249,244.723701,318.533,11.7556,112.617,8.129,264.9888,25.402,0.1513,0.087,999.5009,0
2019-06-28T13:30:41Z,12.436,13.4036,0.9694,-0.2105,244.725877,318.558,11.7834,112.878,8.127,264.1938,25.237,0.1513,0.087,999.5014,0
2019-06-28T13:30:41Z,12.458,13.4026,0.9465,-0.1961,244.728525,318.581,11.8124,113.15,8.13,264.686,25.104,0.1513,0.086,999.5019,0
2019-06-28T13:30:41Z,12.479,13.4007,1.0304,0.0635,244.660538,318.524,11.8404,113.41,8.129,264.686,25.009,0.1513,0.086,999.5022,0
2019-06-28T13:30:41Z,12.499,13.3971,0.9999,0.1067,244.570973,318.385,11.8411,113.411,8.129,264.2317,24.875,0.1512,0.084,999.5023,0
2019-06-28T13:30:41Z,12.519,13.393,1.0152,0.0058,244.600472,318.474,11.8229,113.231,8.128,264.421,24.758,0.1513,0.083,999.5027,0
2019-06-28T13:30:41Z,12.541,13.3896,1.0113,0.0635,244.504073,318.357,11.7847,112.859,8.129,264.7995,24.689,0.1512,0.082,999.5033,0
2019-06-28T13:30:41Z,12.563,13.3866,0.9465,0.0058,244.391552,318.243,11.7364,112.39,8.126,265.1024,24.526,0.1512,0.082,999.5038,0
