Date,Depth_m,Temp_C,CDOM_ugL,Chla_ugL,Phycoerythrin,Phycocyanin,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,PAR,Salinity,Descent Rate (m/s),Flag
2023-04-12T12:12:16Z,1.678,14.855,2.34,1.6393,0.0426,0.2115,0.749,23.279091,29.241,10.1776,100.216,54.241,1.9216833087350969,0.049,0
2023-04-12T12:12:16Z,1.691,14.8406,2.34,1.6393,0.0426,0.2115,0.749,23.272987,29.24,10.1691,100.183,54.442,1.922312459526754,0.047,0
2023-04-12T12:12:16Z,1.703,14.8263,2.34,1.6431,0.0426,0.2961,0.8842,23.276292,29.249,10.1602,100.195,54.466,1.9236331851306177,0.044,0
2023-04-12T12:12:16Z,1.714,14.813,2.34,1.6355,0.0426,0.2961,0.9143,23.289887,29.269,10.1529,100.25,54.077,1.9256721409105266,0.04,0
2023-04-12T12:12:16Z,1.723,14.8015,2.34,1.6507,0.0426,0.2961,0.8241,23.301563,29.285,10.1482,100.343,53.983,1.9273461826938068,0.036,0
2023-04-12T12:12:16Z,1.732,14.7925,2.34,1.6851,0.0426,0.2961,0.8241,23.306515,29.291,10.1469,100.458,53.597,1.928202549599754,0.033,0
2023-04-12T12:12:16Z,1.739,14.7862,2.34,1.6507,0,0.2115,0.9444,23.310024,29.294,10.1495,100.578,53.69,1.9287185625847914,0.029,0
2023-04-12T12:12:16Z,1.746,14.7825,2.34,1.5477,0,0.2115,0.9143,23.313025,29.296,10.1559,100.694,53.527,1.9290382061171247,0.026,0
2023-04-12T12:12:16Z,1.752,14.781,2.34,1.521,0,0.2115,0.8542,23.31236,29.294,10.1656,100.805,53.516,1.928971824197016,0.024,0
2023-04-12T12:12:16Z,1.758,14.7812,2.34,1.5363,0,0.2115,0.8391,23.311809,29.291,10.1773,100.908,53.272,1.9287528300201937,0.022,0
2023-04-12T12:12:16Z,1.763,14.7827,2.34,1.5287,0,0.2115,0.8842,23.311226,29.287,10.1891,100.998,52.995,1.9284007845903546,0.02,0
2023-04-12T12:12:16Z,1.767,14.7849,2.34,1.6126,0,0.2115,0.8391,23.310456,29.283,10.2003,101.073,52.582,1.9280146446169317,0.019,0
2023-04-12T12:12:16Z,1.772,14.7874,2.34,1.5592,0,0.2115,0.8091,23.313252,29.283,10.211,101.141,52.559,1.927892680440635,0.018,0
2023-04-12T12:12:16Z,1.776,14.7904,2.34,1.5744,0,0.2115,0.8091,23.316402,29.283,10.2208,101.201,52.456,1.9277463610140158,0.017,0
2023-04-12T12:12:16Z,1.78,14.7943,2.34,1.605,0,0.2115,0.8391,23.316786,29.281,10.229,101.248,52.308,1.92741686525841,0.017,0
2023-04-12T12:12:16Z,1.784,14.7989,2.34,1.5821,0,0.2961,0.5235,23.314507,29.278,10.2357,101.277,52.297,1.9269836698790792,0.017,0
2023-04-12T12:12:16Z,1.788,14.804,2.34,1.5973,0,0.2961,0.5536,23.316875,29.283,10.2414,101.282,51.969,1.9270834355773487,0.017,0
2023-04-12T12:12:16Z,1.792,14.8087,2.34,1.5783,0,0.2961,0.6137,23.326501,29.298,10.2464,101.257,51.867,1.9278991095564029,0.018,0
2023-04-12T12:12:16Z,1.797,14.8117,2.34,1.5859,0,0.2961,0.5385,23.328137,29.305,10.2505,101.203,51.878,1.9282403347957864,0.019,0
2023-04-12T12:12:16Z,1.802,14.8122,2.34,1.5668,0,0.3807,0.4784,23.32024,29.3,10.2533,101.128,52.025,1.9278676335749407,0.02,0
2023-04-12T12:12:16Z,1.808,14.8098,2.34,1.5935,0,0.3807,0.5085,23.3106,29.292,10.2545,101.04,52.059,1.927427259604514,0.02,0
2023-04-12T12:12:16Z,1.813,14.8052,2.34,1.5859,0,0.3807,0.4484,23.296647,29.28,10.253,100.948,52.059,1.9268154162013629,0.02,0
2023-04-12T12:12:16Z,1.818,14.7991,2.34,1.5973,0,0.3807,0.5085,23.282577,29.268,10.2488,100.859,52.014,1.9262764793520786,0.02,0
2023-04-12T12:12:16Z,1.823,14.7924,2.34,1.5859,0,0.3807,0.5836,23.272556,29.262,10.2427,100.778,52.059,1.9261846066400892,0.02,0
2023-04-12T12:12:16Z,1.828,14.786,2.34,1.5935,0,0.3807,0.4484,23.263911,29.258,10.2351,100.711,51.777,1.926217465579233,0.02,0
2023-04-12T12:12:16Z,1.833,14.7795,2.34,1.5897,0,0.3807,0.5536,23.254337,29.251,10.2273,100.658,51.754,1.9260460925280738,0.02,0
2023-04-12T12:12:16Z,1.838,14.7717,2.34,1.5859,0,0.3807,0.5686,23.245239,29.242,10.22,100.612,51.732,1.9257985606460912,0.021,0
2023-04-12T12:12:16Z,1.843,14.7623,2.34,1.6584,0,0.2115,0.5385,23.238149,29.235,10.2138,100.576,51.597,1.9257682513164727,0.022,0
2023-04-12T12:12:16Z,1.849,14.7534,2.34,1.6584,0,0.2115,0.6137,23.231177,29.227,10.2091,100.557,51.508,1.9256438330721994,0.023,0
2023-04-12T12:12:16Z,1.855,14.7469,2.34,1.6698,0,0.2115,0.5235,23.226422,29.221,10.2051,100.555,51.429,1.9255418832709914,0.024,0
2023-04-12T12:12:16Z,1.862,14.7431,2.34,1.6431,0,0.2115,0.5836,23.230534,29.226,10.2013,100.573,51.676,1.9260755815178143,0.024,0
2023-04-12T12:12:16Z,1.869,14.7411,2.34,1.6393,0,0.2115,0.6137,23.244609,29.243,10.1981,100.614,51.385,1.9273587132497376,0.023,0
2023-04-12T12:12:16Z,1.875,14.7399,2.34,1.6584,0,0.2115,0.6137,23.256565,29.258,10.1964,100.683,51.586,1.928463486500806,0.022,0
2023-04-12T12:12:16Z,1.881,14.7392,2.34,1.6584,0,0.2115,0.5235,23.257716,29.26,10.1964,100.768,51.34,1.9286370397439936,0.021,0
2023-04-12T12:12:16Z,1.886,14.7394,2.34,1.6584,0,0.2115,0.5235,23.252327,29.255,10.1981,100.845,51.318,1.9282783366270686,0.019,0
2023-04-12T12:12:16Z,1.89,14.7403,2.34,1.5783,0,0.2115,0.6287,23.246877,29.252,10.2022,100.888,51.362,1.9280250416223597,0.017,0
2023-04-12T12:12:16Z,1.894,14.7407,2.34,1.5821,0.0426,0.2961,0.5536,23.247831,29.258,10.209,100.882,51.653,1.9284239847719293,0.016,0
2023-04-12T12:12:16Z,1.898,14.7397,2.34,1.5859,0.0426,0.2961,0.4784,23.251484,29.268,10.2179,100.826,51.508,1.9291703055455744,0.015,0
2023-04-12T12:12:16Z,1.902,14.7365,2.34,1.5821,0.0426,0.2961,0.5836,23.250893,29.271,10.2264,100.732,51.608,1.9295357210052844,0.015,0
2023-04-12T12:12:16Z,1.905,14.731,2.34,1.5897,0.0426,0.2961,0.6137,23.249859,29.274,10.2319,100.624,51.664,1.9300135211397158,0.014,0
2023-04-12T12:12:16Z,1.909,14.7245,2.34,1.5706,0,0.2115,0.5235,23.248106,29.275,10.2327,100.525,51.89,1.930400742800098,0.014,0
2023-04-12T12:12:16Z,1.912,14.7181,2.34,1.5744,0,0.2115,0.5536,23.241208,29.269,10.2284,100.46,51.777,1.9302945389932682,0.013,0
