Date,Depth_m,PAR,Chla_ugL
2020-08-19T20:06:54Z,0.319,33.346,1.5993
2020-08-19T20:06:54Z,0.319,33.31,1.6018
2020-08-19T20:06:54Z,0.32,33.205,1.5847
2020-08-19T20:06:54Z,0.32,33.071,1.5535
2020-08-19T20:06:54Z,0.32,32.959,1.5491
2020-08-19T20:06:54Z,0.32,32.91,1.5506
2020-08-19T20:06:54Z,0.32,32.931,1.5248
2020-08-19T20:06:54Z,0.32,33.01,1.4848
2020-08-19T20:06:54Z,0.32,33.096,1.4668
2020-08-19T20:06:54Z,0.32,33.167,1.4798
2020-08-19T20:06:54Z,0.32,33.234,1.5169
2020-08-19T20:06:54Z,0.32,33.261,1.563
2020-08-19T20:06:54Z,0.319,33.236,1.5895
2020-08-19T20:06:54Z,0.319,33.192,1.6082
2020-08-19T20:06:54Z,0.32,33.135,1.6074
2020-08-19T20:06:54Z,0.32,33.05,1.5704
2020-08-19T20:06:54Z,0.32,33.004,1.5429
2020-08-19T20:06:54Z,0.32,33.062,1.5417
2020-08-19T20:06:54Z,0.32,33.147,1.5462
2020-08-19T20:06:54Z,0.32,33.151,1.5497
2020-08-19T20:06:54Z,0.319,33.079,1.5458
2020-08-19T20:06:54Z,0.319,32.984,1.5364
2020-08-19T20:06:54Z,0.32,32.864,1.5313
2020-08-19T20:06:54Z,0.32,32.78,1.5607
2020-08-19T20:06:54Z,0.32,32.741,1.6255
2020-08-19T20:06:54Z,0.32,32.643,1.666
2020-08-19T20:06:54Z,0.323,32.574,1.6783
2020-08-19T20:06:54Z,0.327,32.737,1.6889
2020-08-19T20:06:54Z,0.33,33.073,1.6889
2020-08-19T20:06:54Z,0.332,33.718,1.6788
2020-08-19T20:06:54Z,0.328,35.801,1.6712
2020-08-19T20:06:54Z,0.312,39.85,1.6453
2020-08-19T20:06:54Z,0.277,44.935,1.5942
2020-08-19T20:06:54Z,0.229,50.531,1.5585
2020-08-19T20:06:54Z,0.178,57.622,1.5385
2020-08-19T20:06:54Z,0.13,78.172,1.4663
2020-08-19T20:06:54Z,0.08,159.9,1.3429
2020-08-19T20:06:54Z,0.022,383.62,1.268
2020-08-19T20:06:54Z,-0.038,640.99,1.256
2020-08-19T20:06:54Z,-0.092,719.49,1.2364
2020-08-19T20:06:54Z,-0.13,712.93,1.1838
2020-08-19T20:06:54Z,-0.151,724.03,1.1358
2020-08-19T20:06:54Z,-0.172,577.16,1.1138
2020-08-19T20:06:54Z,-0.204,306.76,1.1082
2020-08-19T20:06:54Z,-0.236,168.1,1.1161
2020-08-19T20:06:54Z,-0.254,151.81,1.1323
2020-08-19T20:06:54Z,-0.259,141.79,1.142
2020-08-19T20:06:54Z,-0.263,132.64,1.1474
2020-08-19T20:06:54Z,-0.274,128.34,1.1595
2020-08-19T20:06:54Z,-0.291,133.53,1.165
2020-08-19T20:06:54Z,-0.306,198.85,1.1563
2020-08-19T20:06:54Z,-0.316,339.87,1.1496
2020-08-19T20:06:54Z,-0.328,381.52,1.1516
2020-08-19T20:06:54Z,-0.336,260.32,1.1506
2020-08-19T20:06:54Z,-0.34,167.39,1.1475
2020-08-19T20:06:54Z,-0.345,151.62,1.1427
2020-08-19T20:06:54Z,-0.352,146.16,1.1405
2020-08-19T20:06:54Z,-0.357,143.52,1.1485
2020-08-19T20:06:54Z,-0.358,142.83,1.154
