"Reservoir","Site","DateTime","StartDepth_m","EndDepth_m","Rep","CollectionMethod","InitialSampleVolume_mL","Subsample","SubsampleVolume_mL","Zooplankton_No."
"BVR",50,2019-07-10 11:48:00,10,0,"1","Tow",700,"A",1,606
"BVR",50,2019-07-10 11:48:00,10,0,"1","Tow",700,"B",1,607
"BVR",50,2019-07-11 00:03:00,10,0,"2","Tow",1000,"A",1,97
"BVR",50,2019-07-11 00:03:00,10,0,"2","Tow",1000,"B",1,97
"BVR",50,2019-07-11 00:03:00,10,0,"2","Tow",1000,"C",1,71
"BVR",50,2019-07-10 11:56:00,10,0,"2","Tow",1000,"A",1,373
"BVR",50,2019-07-10 11:56:00,10,0,"2","Tow",1000,"B",1,431
"BVR",50,2019-07-10 11:56:00,10,0,"2","Tow",1000,"C",1,360
"BVR",50,2019-07-11 23:53:00,10,0,"1","Tow",1000,"A",1,58
"BVR",50,2019-07-11 23:53:00,10,0,"1","Tow",1000,"B",1,64
"BVR",50,2019-07-11 23:53:00,10,0,"1","Tow",1000,"C",1,93
"BVR",49,2019-07-10 18:45:00,2,0,"1","Tow",500,"A",1,22
"BVR",49,2019-07-10 18:45:00,2,0,"1","Tow",500,"B",4,40
"BVR",49,2019-07-10 18:45:00,2,0,"1","Tow",500,"C",4,30
"BVR",49,2019-07-10 18:45:00,2,0,"1","Tow",500,"D",4,24
"BVR",49,2019-07-10 18:45:00,2,0,"1","Tow",500,"E",4,33
"BVR",49,2019-07-10 19:45:00,2,0,"1","Tow",300,"B",1,20
"BVR",49,2019-07-10 19:45:00,2,0,"1","Tow",300,"C",2,10
"BVR",49,2019-07-10 19:45:00,2,0,"1","Tow",300,"D",2,22
"BVR",49,2019-07-10 19:45:00,2,0,"1","Tow",300,"E",2,18
"BVR",49,2019-07-10 19:45:00,2,0,"1","Tow",300,"F",2,36
"BVR",49,2019-07-10 20:45:00,2,0,"1","Tow",300,"A",2,17
"BVR",49,2019-07-10 20:45:00,2,0,"1","Tow",300,"B",4,25
"BVR",49,2019-07-10 20:45:00,2,0,"1","Tow",300,"C",4,32
"BVR",49,2019-07-10 20:45:00,2,0,"1","Tow",300,"D",4,37
"BVR",49,2019-07-10 20:45:00,2,0,"1","Tow",300,"E",4,57
"BVR",49,2019-07-10 21:45:00,2,0,"1","Tow",300,"A",4,77
"BVR",49,2019-07-10 21:45:00,2,0,"1","Tow",300,"B",2,44
"BVR",49,2019-07-10 21:45:00,2,0,"1","Tow",300,"C",2,53
"BVR",51,2019-07-10 18:51:00,2,0,"2","Tow",200,"A",4,26
"BVR",51,2019-07-10 18:51:00,2,0,"2","Tow",200,"B",5,58
"BVR",51,2019-07-10 18:51:00,2,0,"2","Tow",200,"C",5,45
"BVR",51,2019-07-10 19:50:00,2,0,"2","Tow",200,"A",5,62
"BVR",51,2019-07-10 19:50:00,2,0,"2","Tow",200,"B",5,58
"BVR",51,2019-07-10 19:50:00,2,0,"2","Tow",200,"C",5,81
"BVR",51,2019-07-10 20:51:00,2,0,"2","Tow",300,"A",3,16
"BVR",51,2019-07-10 20:51:00,2,0,"2","Tow",300,"B",4,26
"BVR",51,2019-07-10 20:51:00,2,0,"2","Tow",300,"C",4,33
"BVR",51,2019-07-10 20:51:00,2,0,"2","Tow",300,"D",4,29
"BVR",51,2019-07-10 21:52:00,2,0,"2","Tow",300,"A",4,21
"BVR",51,2019-07-10 21:52:00,2,0,"2","Tow",300,"B",5,33
"BVR",51,2019-07-10 21:52:00,2,0,"2","Tow",300,"C",5,47
"BVR",51,2019-07-10 21:52:00,2,0,"2","Tow",300,"D",5,38
"BVR",49,2019-07-11 11:50:00,2,0,"1","Tow",1000,"A",2,33
"BVR",49,2019-07-11 11:50:00,2,0,"1","Tow",1000,"B",3,20
"BVR",49,2019-07-11 11:50:00,2,0,"1","Tow",1000,"C",4,23
"BVR",49,2019-07-11 11:50:00,2,0,"1","Tow",1000,"D",5,39
"BVR",49,2019-07-10 11:31:00,2,0,"1","Tow",200,"A",5,26
"BVR",49,2019-07-10 11:31:00,2,0,"1","Tow",200,"B",5,59
"BVR",49,2019-07-10 11:31:00,2,0,"1","Tow",200,"C",5,21
"FCR",50,2019-07-22 12:00:00,3.5,0,"1","Tow",1000,"A",1,38
"FCR",50,2019-07-22 12:00:00,3.5,0,"1","Tow",1000,"B",1,56
"FCR",50,2019-07-22 12:00:00,3.5,0,"1","Tow",1000,"C",1,101
"FCR",50,2019-07-22 12:00:00,9,0,"1","Tow",1000,"A",1,235
"FCR",50,2019-07-22 12:00:00,9,0,"1","Tow",1000,"B",1,219
"FCR",50,2019-07-22 12:00:00,9,0,"1","Tow",1000,"C",1,238
"FCR",50,2019-08-28 12:00:00,1.5,0,"1","Tow",1000,"A",1,101
"FCR",50,2019-08-28 12:00:00,1.5,0,"1","Tow",1000,"B",1,101
"FCR",50,2019-08-28 12:00:00,1.5,0,"1","Tow",1000,"C",1,101
"FCR",50,2019-08-28 12:00:00,9,0,"1","Tow",1000,"A",1,44
"FCR",50,2019-08-28 12:00:00,9,0,"1","Tow",1000,"B",1,110
"FCR",50,2019-08-28 12:00:00,9,0,"1","Tow",1000,"C",1,87
"FCR",50,2019-08-19 12:00:00,1.5,0,"1","Tow",1000,"A",1,70
"FCR",50,2019-08-19 12:00:00,1.5,0,"1","Tow",1000,"B",1,75
"FCR",50,2019-08-19 12:00:00,1.5,0,"1","Tow",1000,"C",1,71
"FCR",50,2019-08-19 12:00:00,9,0,"1","Tow",1000,"A",1,107
"FCR",50,2019-08-19 12:00:00,9,0,"1","Tow",1000,"B",1,121
"FCR",50,2019-08-19 12:00:00,9,0,"1","Tow",1000,"C",1,125
"FCR",50,2019-06-13 12:00:00,3,0,"1","Tow",1000,"A",1,61
"FCR",50,2019-06-13 12:00:00,3,0,"1","Tow",1000,"B",1,64
"FCR",50,2019-06-13 12:00:00,3,0,"1","Tow",1000,"C",1,74
"BVR",51,2019-07-11 04:17:00,2,0,"2","Tow",200,"A",1,25
"BVR",51,2019-07-11 04:17:00,2,0,"2","Tow",200,"B",1,21
"BVR",51,2019-07-11 04:17:00,2,0,"2","Tow",200,"C",3,152
"BVR",51,2019-07-11 04:17:00,2,0,"2","Tow",200,"D",1,15
"BVR",51,2019-07-11 05:17:00,2,0,"2","Tow",200,"A",2,42
"BVR",51,2019-07-11 05:17:00,2,0,"2","Tow",200,"B",2,38
"BVR",51,2019-07-11 05:17:00,2,0,"2","Tow",200,"C",2,40
"BVR",51,2019-07-11 06:10:00,2,0,"1","Tow",200,"A",5,36
"BVR",51,2019-07-11 06:10:00,2,0,"1","Tow",200,"B",5,50
"BVR",51,2019-07-11 06:10:00,2,0,"1","Tow",200,"C",5,26
"BVR",51,2019-07-11 06:10:00,2,0,"2","Tow",200,"A",5,40
"BVR",51,2019-07-11 06:10:00,2,0,"2","Tow",200,"B",5,46
"BVR",51,2019-07-11 06:10:00,2,0,"2","Tow",200,"C",5,37
"BVR",51,2019-07-11 07:10:00,2,0,"1","Tow",200,"A",5,40
"BVR",51,2019-07-11 07:10:00,2,0,"1","Tow",200,"B",5,22
"BVR",51,2019-07-11 07:10:00,2,0,"1","Tow",200,"C",5,17
"BVR",51,2019-07-11 07:10:00,2,0,"1","Tow",200,"D",5,14
"BVR",51,2019-07-11 07:16:00,2,0,"2","Tow",200,"A",5,30
"BVR",51,2019-07-11 07:16:00,2,0,"2","Tow",200,"B",5,43
"BVR",51,2019-07-11 07:16:00,2,0,"2","Tow",200,"C",5,30
"BVR",51,2019-07-11 11:31:00,2,0,"1","Tow",200,"A",5,23
"BVR",51,2019-07-11 11:31:00,2,0,"1","Tow",200,"B",5,32
"BVR",51,2019-07-11 11:31:00,2,0,"1","Tow",200,"C",5,29
"BVR",51,2019-07-11 11:31:00,2,0,"1","Tow",200,"D",5,34
"BVR",51,2019-07-11 11:35:00,2,0,"2","Tow",200,"A",5,52
"BVR",51,2019-07-11 11:35:00,2,0,"2","Tow",200,"B",5,85
"BVR",51,2019-07-11 11:35:00,2,0,"2","Tow",200,"C",5,74
"BVR",51,2019-07-11 23:50:00,2,0,"2","Tow",200,"A",4,79
"BVR",51,2019-07-11 23:50:00,2,0,"2","Tow",200,"B",4,27
"BVR",51,2019-07-11 23:50:00,2,0,"2","Tow",200,"C",4,46
"BVR",51,2019-07-10 11:43:00,2,0,"2","Tow",200,"A",5,47
"BVR",51,2019-07-10 11:43:00,2,0,"2","Tow",200,"B",5,32
"BVR",51,2019-07-10 11:43:00,2,0,"2","Tow",200,"C",5,40
"BVR",50,2019-07-10 12:03:00,10,0,"3","Tow",1000,"A",1,279
"BVR",50,2019-07-10 12:03:00,10,0,"3","Tow",1000,"B",1,276
"BVR",50,2019-07-10 12:03:00,10,0,"3","Tow",1000,"C",1,283
"FCR",50,2019-06-10 12:00:00,3,0,"1","Tow",1000,"A",1,56
"FCR",50,2019-06-10 12:00:00,3,0,"1","Tow",1000,"B",1,79
"FCR",50,2019-06-10 12:00:00,3,0,"1","Tow",1000,"C",1,78
"FCR",50,2019-06-10 12:00:00,8,0,"1","Tow",1000,"A",1,107
"FCR",50,2019-06-10 12:00:00,8,0,"1","Tow",1000,"B",1,148
"FCR",50,2019-06-10 12:00:00,8,0,"1","Tow",1000,"C",1,90
"FCR",50,2019-07-08 12:00:00,9,0,"1","Tow",1000,"A",1,187
"FCR",50,2019-07-08 12:00:00,9,0,"1","Tow",1000,"B",1,175
"FCR",50,2019-07-08 12:00:00,9,0,"1","Tow",1000,"C",1,191
"FCR",50,2019-07-08 12:00:00,3,0,"1","Tow",1000,"A",1,57
"FCR",50,2019-07-08 12:00:00,3,0,"1","Tow",1000,"B",1,77
"FCR",50,2019-07-08 12:00:00,3,0,"1","Tow",1000,"C",1,70
"FCR",50,2019-07-15 12:00:00,9,0,"1","Tow",1000,"A",1,171
"FCR",50,2019-07-15 12:00:00,9,0,"1","Tow",1000,"B",1,350
"FCR",50,2019-07-15 12:00:00,9,0,"1","Tow",1000,"C",1,258
"FCR",50,2019-07-15 12:00:00,3.5,0,"1","Tow",1000,"A",1,76
"FCR",50,2019-07-15 12:00:00,3.5,0,"1","Tow",1000,"B",1,81
"FCR",50,2019-07-15 12:00:00,3.5,0,"1","Tow",1000,"C",1,69
"FCR",50,2019-08-14 12:00:00,9,0,"1","Tow",1000,"A",1,44
"FCR",50,2019-08-14 12:00:00,9,0,"1","Tow",1000,"B",1,23
"FCR",50,2019-08-14 12:00:00,9,0,"1","Tow",1000,"C",1,15
"FCR",50,2019-08-14 12:00:00,9,0,"1","Tow",1000,"D",1,15
"FCR",50,2019-08-14 12:00:00,9,0,"1","Tow",1000,"E",1,36
"FCR",50,2019-08-14 12:00:00,2,0,"1","Tow",1000,"A",2,100
"FCR",50,2019-08-14 12:00:00,2,0,"1","Tow",1000,"B",1,30
"FCR",50,2019-08-14 12:00:00,2,0,"1","Tow",1000,"C",2,78
"FCR",50,2019-08-22 12:00:00,9,0,"1","Tow",1000,"A",1,74
"FCR",50,2019-08-22 12:00:00,9,0,"1","Tow",1000,"B",1,92
"FCR",50,2019-08-22 12:00:00,9,0,"1","Tow",1000,"C",1,98
"FCR",50,2019-08-22 12:00:00,1.5,0,"1","Tow",1000,"A",1,94
"FCR",50,2019-08-22 12:00:00,1.5,0,"1","Tow",1000,"B",1,49
"FCR",50,2019-08-22 12:00:00,1.5,0,"1","Tow",1000,"C",1,55
"FCR",50,2019-09-02 12:00:00,9,0,"1","Tow",1000,"A",1,181
"FCR",50,2019-09-02 12:00:00,9,0,"1","Tow",1000,"B",1,246
"FCR",50,2019-09-02 12:00:00,9,0,"1","Tow",1000,"C",1,225
"FCR",50,2019-09-02 12:00:00,2.5,0,"1","Tow",1000,"A",1,222
"FCR",50,2019-09-02 12:00:00,2.5,0,"1","Tow",1000,"B",1,218
"FCR",50,2019-09-02 12:00:00,2.5,0,"1","Tow",1000,"C",1,253
"BVR",50,2019-07-11 06:10:00,4,0,"1","Tow",500,"A",2,48
"BVR",50,2019-07-11 06:10:00,4,0,"1","Tow",500,"B",2,41
"BVR",50,2019-07-11 06:10:00,4,0,"1","Tow",500,"C",2,68
"BVR",50,2019-07-11 06:10:00,4,0,"2","Tow",500,"A",2,92
"BVR",50,2019-07-11 06:10:00,4,0,"2","Tow",500,"B",1,36
"BVR",50,2019-07-11 06:10:00,4,0,"2","Tow",500,"C",1,50
"BVR",50,2019-07-11 07:10:00,4,0,"2","Tow",700,"A",1,20
"BVR",50,2019-07-11 07:10:00,4,0,"2","Tow",700,"B",2,38
"BVR",50,2019-07-11 07:10:00,4,0,"2","Tow",700,"C",2,38
"BVR",50,2019-07-11 07:10:00,4,0,"1","Tow",700,"A",2,29
"BVR",50,2019-07-11 07:10:00,4,0,"1","Tow",700,"B",2,30
"BVR",50,2019-07-11 07:10:00,4,0,"1","Tow",700,"C",3,81
"BVR",50,2019-07-11 05:10:00,4,0,"2","Tow",1000,"A",1,35
"BVR",50,2019-07-11 05:10:00,4,0,"2","Tow",1000,"B",1,47
"BVR",50,2019-07-11 05:10:00,4,0,"2","Tow",1000,"C",1,32
"BVR",50,2019-07-10 12:00:00,4,0,"2","Tow",500,"A",3,33
"BVR",50,2019-07-10 12:00:00,4,0,"2","Tow",500,"B",3,23
"BVR",50,2019-07-10 12:00:00,4,0,"2","Tow",500,"C",5,39
"BVR",50,2019-07-10 12:00:00,4,0,"2","Tow",500,"D",5,37
"BVR",50,2019-07-10 12:00:00,5.5,0,"1","Tow",500,"A",3,373
"BVR",50,2019-07-10 12:00:00,5.5,0,"1","Tow",500,"B",1,152
"BVR",50,2019-07-10 12:00:00,5.5,0,"1","Tow",500,"C",1,176
"BVR",50,2019-07-11 12:00:00,10,0,"1","Tow",1000,"A",1,51
"BVR",50,2019-07-11 12:00:00,10,0,"1","Tow",1000,"B",1,76
"BVR",50,2019-07-11 12:00:00,10,0,"1","Tow",1000,"C",1,80
"BVR",50,2019-07-11 12:00:00,4,0,"3","Tow",1000,"A",2,19
"BVR",50,2019-07-11 12:00:00,4,0,"3","Tow",1000,"B",4,33
"BVR",50,2019-07-11 12:00:00,4,0,"3","Tow",1000,"C",5,65
"BVR",50,2019-07-11 12:00:00,4,0,"1","Tow",1000,"A",5,50
"BVR",50,2019-07-11 12:00:00,4,0,"1","Tow",1000,"B",5,33
"BVR",50,2019-07-11 12:00:00,4,0,"1","Tow",1000,"C",5,40
"BVR",50,2019-07-11 12:00:00,4,0,"2","Tow",700,"A",1,10
"BVR",50,2019-07-11 12:00:00,4,0,"2","Tow",700,"B",3,52
"BVR",50,2019-07-11 12:00:00,4,0,"2","Tow",700,"C",5,136
"BVR",50,2019-07-11 00:00:00,4,0,"2","Tow",1000,"A",1,40
"BVR",50,2019-07-11 00:00:00,4,0,"2","Tow",1000,"B",1,31
"BVR",50,2019-07-11 00:00:00,4,0,"2","Tow",1000,"C",1,36
"BVR",50,2019-07-11 00:00:00,4,0,"3","Tow",1000,"A",1,30
"BVR",50,2019-07-11 00:00:00,4,0,"3","Tow",1000,"B",1,31
"BVR",50,2019-07-11 00:00:00,4,0,"3","Tow",1000,"D",2,51
"BVR",50,2019-06-06 12:00:00,10,0,"1","Tow",1000,"A",2,26
"BVR",50,2019-06-06 12:00:00,10,0,"1","Tow",1000,"B",4,42
"BVR",50,2019-06-06 12:00:00,10,0,"1","Tow",1000,"C",5,50
"BVR",50,2019-06-06 12:00:00,4,0,"1","Tow",700,"A",1,21
"BVR",50,2019-06-06 12:00:00,4,0,"1","Tow",700,"B",3,56
"BVR",50,2019-06-06 12:00:00,4,0,"1","Tow",700,"C",3,53
"BVR",50,2019-06-13 12:00:00,10,0,"1","Tow",700,"A",1,42
"BVR",50,2019-06-13 12:00:00,10,0,"1","Tow",700,"B",1,35
"BVR",50,2019-06-13 12:00:00,10,0,"1","Tow",700,"C",2,73
"BVR",50,2019-06-13 12:00:00,6,0,"1","Tow",700,"A",1,20
"BVR",50,2019-06-13 12:00:00,6,0,"1","Tow",700,"B",2,33
"BVR",50,2019-06-13 12:00:00,6,0,"1","Tow",700,"C",4,68
"FCR",50,2019-07-18 12:00:00,9,0,"1","Tow",1000,"A",1,112
"FCR",50,2019-07-18 12:00:00,9,0,"1","Tow",1000,"B",1,162
"FCR",50,2019-07-18 12:00:00,9,0,"1","Tow",1000,"C",1,122
"FCR",50,2019-07-18 12:00:00,4.5,0,"1","Tow",1000,"A",1,NA
"FCR",50,2019-07-18 12:00:00,4.5,0,"1","Tow",1000,"B",4,196
"FCR",50,2019-07-18 12:00:00,4.5,0,"1","Tow",1000,"C",1,45
"FCR",50,2019-07-18 12:00:00,4.5,0,"1","Tow",1000,"D",1,29
"BVR",50,2019-07-11 04:10:00,4,0,"2","Tow",1000,"A",1,35
"BVR",50,2019-07-11 04:10:00,4,0,"2","Tow",1000,"B",1,32
"BVR",50,2019-07-11 04:10:00,4,0,"2","Tow",1000,"C",1,34
"BVR",51,2019-07-25 12:00:00,2,0,"3","Tow",200,"A",5,79
"BVR",51,2019-07-25 12:00:00,2,0,"3","Tow",200,"B",2,33
"BVR",51,2019-07-25 12:00:00,2,0,"3","Tow",200,"C",2,42
"BVR",51,2019-07-25 12:00:00,2,0,"1","Tow",200,"A",2,35
"BVR",51,2019-07-25 12:00:00,2,0,"1","Tow",200,"B",2,37
"BVR",51,2019-07-25 12:00:00,2,0,"1","Tow",200,"C",2,44
"BVR",51,2019-07-25 12:00:00,2,0,"2","Tow",200,"A",2,49
"BVR",51,2019-07-25 12:00:00,2,0,"2","Tow",200,"B",2,69
"BVR",51,2019-07-25 12:00:00,2,0,"2","Tow",200,"C",2,53
"BVR",51,2019-07-24 12:00:00,2,0,"1","Tow",200,"A",2,47
"BVR",51,2019-07-24 12:00:00,2,0,"1","Tow",200,"B",2,24
"BVR",51,2019-07-24 12:00:00,2,0,"1","Tow",200,"C",2,26
"BVR",51,2019-07-24 12:00:00,2,0,"2","Tow",200,"A",2,37
"BVR",51,2019-07-24 12:00:00,2,0,"2","Tow",200,"B",2,41
"BVR",51,2019-07-24 12:00:00,2,0,"2","Tow",200,"C",2,37
"BVR",51,2019-07-25 00:00:00,2,0,"1","Tow",200,"A",2,37
"BVR",51,2019-07-25 00:00:00,2,0,"1","Tow",200,"B",2,25
"BVR",51,2019-07-25 00:00:00,2,0,"1","Tow",200,"C",2,22
"BVR",51,2019-07-25 00:00:00,2,0,"1","Tow",200,"D",2,41
"BVR",51,2019-07-25 00:00:00,2,0,"2","Tow",200,"A",2,34
"BVR",51,2019-07-25 00:00:00,2,0,"2","Tow",200,"B",2,28
"BVR",51,2019-07-25 00:00:00,2,0,"2","Tow",200,"C",2,30
"BVR",51,2019-07-25 00:00:00,2,0,"2","Tow",200,"D",2,29
"BVR",51,2019-07-24 21:35:00,2,0,"1","Tow",200,"A",2,32
"BVR",51,2019-07-24 21:35:00,2,0,"1","Tow",200,"B",2,23
"BVR",51,2019-07-24 21:35:00,2,0,"1","Tow",200,"C",4,38
"BVR",51,2019-07-24 21:35:00,2,0,"1","Tow",200,"D",4,34
"BVR",51,2019-07-24 21:35:00,2,0,"2","Tow",200,"A",3,42
"BVR",51,2019-07-24 21:35:00,2,0,"2","Tow",200,"B",3,43
"BVR",51,2019-07-24 21:35:00,2,0,"2","Tow",200,"C",3,38
"BVR",51,2019-07-24 20:35:00,2,0,"1","Tow",200,"A",5,43
"BVR",51,2019-07-24 20:35:00,2,0,"1","Tow",200,"B",5,49
"BVR",51,2019-07-24 20:35:00,2,0,"1","Tow",200,"C",5,39
"BVR",51,2019-07-24 20:35:00,2,0,"2","Tow",200,"A",5,50
"BVR",51,2019-07-24 20:35:00,2,0,"2","Tow",200,"B",5,41
"BVR",51,2019-07-24 20:35:00,2,0,"2","Tow",200,"C",5,43
"BVR",51,2019-07-24 19:35:00,2,0,"1","Tow",200,"A",2,32
"BVR",51,2019-07-24 19:35:00,2,0,"1","Tow",200,"B",5,30
"BVR",51,2019-07-24 19:35:00,2,0,"1","Tow",200,"C",5,46
"BVR",51,2019-07-24 19:35:00,2,0,"2","Tow",200,"A",5,41
"BVR",51,2019-07-24 19:35:00,2,0,"2","Tow",200,"B",5,25
"BVR",51,2019-07-24 19:35:00,2,0,"2","Tow",200,"C",5,41
"BVR",51,2019-07-24 18:35:00,2,0,"1","Tow",200,"A",5,34
"BVR",51,2019-07-24 18:35:00,2,0,"1","Tow",200,"B",5,48
"BVR",51,2019-07-24 18:35:00,2,0,"1","Tow",200,"C",5,42
"BVR",51,2019-07-24 18:35:00,2,0,"2","Tow",200,"A",5,68
"BVR",51,2019-07-24 18:35:00,2,0,"2","Tow",200,"B",2,23
"BVR",51,2019-07-24 18:35:00,2,0,"2","Tow",200,"C",2,18
"BVR",51,2019-07-25 04:20:00,2,0,"1","Tow",200,"A",2,41
"BVR",51,2019-07-25 04:20:00,2,0,"1","Tow",200,"B",2,34
"BVR",51,2019-07-25 04:20:00,2,0,"1","Tow",200,"C",2,47
"BVR",51,2019-07-25 04:20:00,2,0,"2","Tow",200,"A",2,48
"BVR",51,2019-07-25 04:20:00,2,0,"2","Tow",200,"B",2,40
"BVR",51,2019-07-25 04:20:00,2,0,"2","Tow",200,"C",2,41
"BVR",51,2019-07-25 05:20:00,2,0,"1","Tow",200,"A",2,37
"BVR",51,2019-07-25 05:20:00,2,0,"1","Tow",200,"B",2,40
"BVR",51,2019-07-25 05:20:00,2,0,"1","Tow",200,"C",2,51
"BVR",51,2019-07-25 05:20:00,2,0,"2","Tow",200,"A",2,41
"BVR",51,2019-07-25 05:20:00,2,0,"2","Tow",200,"B",2,53
"BVR",51,2019-07-25 05:20:00,2,0,"2","Tow",200,"C",2,48
"BVR",51,2019-07-25 06:20:00,2,0,"1","Tow",200,"A",2,29
"BVR",51,2019-07-25 06:20:00,2,0,"1","Tow",200,"B",2,35
"BVR",51,2019-07-25 06:20:00,2,0,"1","Tow",200,"C",3,40
"BVR",51,2019-07-25 06:20:00,2,0,"2","Tow",200,"A",2,19
"BVR",51,2019-07-25 06:20:00,2,0,"2","Tow",200,"B",4,28
"BVR",51,2019-07-25 06:20:00,2,0,"2","Tow",200,"C",5,62
"BVR",51,2019-07-25 07:20:00,2,0,"1","Tow",200,"A",2,24
"BVR",51,2019-07-25 07:20:00,2,0,"1","Tow",200,"B",4,42
"BVR",51,2019-07-25 07:20:00,2,0,"1","Tow",200,"C",4,51
"BVR",51,2019-07-25 07:20:00,2,0,"2","Tow",200,"A",3,32
"BVR",51,2019-07-25 07:20:00,2,0,"2","Tow",200,"B",3,26
"BVR",51,2019-07-25 07:20:00,2,0,"2","Tow",200,"C",4,36
"BVR",51,2019-07-25 07:20:00,2,0,"2","Tow",200,"D",2,14
"BVR",50,2019-07-25 00:00:00,10,0,"1","Tow",1000,"A",1,93
"BVR",50,2019-07-25 00:00:00,10,0,"1","Tow",1000,"B",1,61
"BVR",50,2019-07-25 00:00:00,10,0,"1","Tow",1000,"C",1,79
"BVR",50,2019-07-25 00:00:00,4,0,"4","Tow",1000,"A",1,16
"BVR",50,2019-07-25 00:00:00,4,0,"4","Tow",1000,"B",2,43
"BVR",50,2019-07-25 00:00:00,4,0,"4","Tow",1000,"C",2,39
"BVR",50,2019-07-25 00:00:00,4,0,"1","Tow",1000,"A",2,44
"BVR",50,2019-07-25 00:00:00,4,0,"1","Tow",1000,"B",2,53
"BVR",50,2019-07-25 00:00:00,4,0,"1","Tow",1000,"C",2,36
"BVR",50,2019-07-25 00:00:00,4,0,"2","Tow",1000,"A",2,47
"BVR",50,2019-07-25 00:00:00,4,0,"2","Tow",1000,"B",2,78
"BVR",50,2019-07-25 00:00:00,4,0,"2","Tow",1000,"C",2,51
